epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.577,3.50156,4.80068,3.45596,29.875203213158645,0.0,0.0,0.0,3.20089,3.45403,2.73122,0.0700694,0.00332562,0.00332562
2,213.796,2.84159,3.5187,2.55499,0.0,16.64057624297899,10.722699936498449,5.445169867060561,2.47487,2.79415,2.25095,0.0400365,0.00662599,0.00662599
3,312.822,2.36844,2.77295,2.1159,8.275346657741222,28.545818597878093,23.560565537335172,13.557646479566714,2.24519,2.40424,1.97847,0.00997052,0.00989336,0.00989336
4,412.076,2.12482,2.34682,1.8636,47.526116477001054,37.70353130850843,37.75779761682417,23.021486952240274,1.91794,1.99406,1.70827,0.0098515,0.0098515,0.0098515
5,511.118,1.97571,2.09633,1.73258,63.81614229702591,46.354040981901406,49.97815920212169,31.8187690792713,1.82044,1.72166,1.59883,0.009802,0.009802,0.009802
6,610.19,1.87115,1.91636,1.63398,69.30370087023047,45.20366132723113,50.172201262560215,31.044874446085668,1.77517,1.76601,1.58725,0.0097525,0.0097525,0.0097525
7,709.171,1.81918,1.81316,1.57382,73.85184087214306,44.99106771375078,51.9175077509245,33.771216149679965,1.74086,1.64286,1.53234,0.009703,0.009703,0.009703
8,808.909,1.77367,1.72583,1.52741,73.95847757483025,54.7930361972124,59.42832916215308,40.09869030034466,1.63094,1.46221,1.4524,0.0096535,0.0096535,0.0096535
9,907.734,1.74184,1.66743,1.51096,76.52791431576932,55.43837112544207,61.594953494452945,42.35060561299852,1.58637,1.42027,1.42064,0.009604,0.009604,0.009604
10,1007.07,1.71587,1.61315,1.48598,61.63939944534762,53.79913407530684,60.80163236337828,41.1205317577548,1.56642,1.39473,1.41155,0.0095545,0.0095545,0.0095545
11,1106.21,1.69097,1.56782,1.46308,59.4982021612317,58.73411171208654,63.24163086922416,43.14274741506647,1.56785,1.38127,1.41098,0.009505,0.009505,0.009505
12,1205.34,1.67279,1.53963,1.44209,60.32590609161328,61.737401185770764,64.78217474132457,43.9241555883801,1.58251,1.33551,1.40444,0.0094555,0.0094555,0.0094555
13,1304.15,1.65469,1.50256,1.42039,4.346715119059009,33.932962346577916,31.723196742744012,18.13553914327917,2.06327,2.81106,1.91148,0.009406,0.009406,0.009406
14,1403.09,1.63098,1.47581,1.4145,50.484861815052106,61.39422976908675,66.34415972507564,45.320600689315604,1.55452,1.31581,1.37374,0.0093565,0.0093565,0.0093565
15,1502.14,1.61825,1.4469,1.40021,49.62499760925695,65.49933690451427,68.0412237122259,46.29628754308222,1.5133,1.27735,1.3668,0.009307,0.009307,0.009307
16,1602.0,1.60675,1.42802,1.39104,52.490647413216024,64.48493083003953,68.93317395689364,47.065888724766126,1.48554,1.26242,1.31803,0.0092575,0.0092575,0.0092575
17,1701.49,1.59549,1.40473,1.37597,52.02516974275604,65.93207821926357,68.2374098838295,46.08161496799606,1.51454,1.23034,1.34118,0.009208,0.009208,0.009208
18,1800.62,1.57855,1.38505,1.36992,52.372162188008026,69.65732265446225,70.24644204549699,49.619419005416056,1.45548,1.19095,1.31339,0.0091585,0.0091585,0.0091585
19,1900.16,1.56496,1.37382,1.36121,61.495524529023626,66.11337632619097,70.88753128385191,48.76716888232398,1.44072,1.17228,1.30679,0.009109,0.009109,0.009109
20,1999.3,1.56666,1.35812,1.35819,58.69250262981734,69.91524079467443,72.08072914721153,50.5790054160512,1.44083,1.1575,1.28312,0.0090595,0.0090595,0.0090595
21,2098.71,1.5348,1.33806,1.34384,62.27075643109879,67.8767162471396,71.97030742221058,50.75503692762185,1.40814,1.15183,1.28237,0.00901,0.00901,0.00901
22,2198.29,1.54067,1.33002,1.33919,65.22780912307546,67.39217547326815,72.25761831832952,51.09958641063515,1.42864,1.14616,1.2789,0.0089605,0.0089605,0.0089605
23,2297.83,1.53603,1.30798,1.33346,66.3077173185426,68.0817557728313,73.28250345523139,50.828025603151154,1.42159,1.14358,1.27857,0.008911,0.008911,0.008911
24,2397.02,1.52542,1.29722,1.32639,58.438605718657364,72.31420324526731,74.73728288072914,53.05525356967011,1.40406,1.09459,1.26929,0.0088615,0.0088615,0.0088615
25,2496.64,1.51342,1.27624,1.31417,76.34172324758535,68.95802995631372,75.50058645549288,52.50569177744953,1.39624,1.08981,1.26341,0.008812,0.008812,0.008812
